aid,bvid,title,播放量,点赞数,投币数,属地,视频时长(秒),视频时长(分:秒),up主,up主ID,发布时间,视频分类,收藏数,分享数,评论数,弹幕数
114250693481451,BV1YLZzYEE1Z,随机挑战！106元吃鸡腿？这得吃多少个…,34958650,314280,50871,浙江,430,7:10,一只黑Q,54911793,2025-03-30 17:42:11,美食记录,543798,1093,1702,69877
114250811048162,BV15gZzYXE4N,蔬菜切法指南！从几何角度出发，一次性搞清楚所有蔬菜的最优切法【解构家常菜】,3351956,230035,98847,北京,311,5:11,杨光_建厨师,21950148,2025-03-30 18:13:29,美食制作,387298,35478,2760,1599
114245610181916,BV1stZAYvELe,不可能存在方的鸡！除非……,14622061,646870,191906,福建,246,4:06,黑猫厨房,1420982,2025-04-02 18:00:00,美食制作,142724,21689,4409,4216
114262286600552,BV1ihZhYKERR,在成都一大早吃这么香，不要命啦？,6467129,202151,46454,上海,655,10:55,日食记,8960728,2025-04-01 18:51:17,美食制作,70823,32981,5478,21454
114256397800238,BV1QyZJYoEjB,中国买来大烙锅在芬兰实现贵州烙锅自由！豪华苗族酸辣宴暴击芬兰干饭家族！丝娃娃糯米饭洋芋花式吃法全家撑到坐不下来！,1605964,86471,60243,芬兰,1385,23:05,雨琪在芬兰,323024456,2025-03-31 17:50:03,美食记录,11146,780,1637,10566
114261716108777,BV18FZbYUENq,荷兰生蚝泛滥！中国儿媳携德国公公跨国救援！蒜香轰炸德法美食圈,3783964,92367,51042,德国,1194,19:54,德国陶渊明,7327911,2025-04-01 16:57:57,美食记录,21638,3598,2037,6741
114238177676929,BV1dfoDY9E8Y,用一袋垃圾桶捡来的鸡皮，竟然刷新了西班牙老外的三观,6490933,350949,9448,四川,320,5:20,西班牙陈挺,1984198637,2025-04-02 18:00:00,美食记录,62227,1417,3246,2887
114250727035036,BV1aEZzYjEKU,全世界将近2000种奶酪，到底都有什么区别？看完这期视频你就懂了！,1756782,170312,145570,北京,778,12:58,大祥哥来了,2920960,2025-03-30 18:07:39,美食侦探,18894,2092,2816,3369
114255357550566,BV1jgZEYwEH3,【全网首发】必胜客逆天新品《姐妹双修披萨》,2356788,50262,1558,辽宁,191,3:11,转生成为毛毛,1563385862,2025-03-31 13:27:47,美食侦探,6007,48649,7408,9616
114255558877124,BV1sQZ7Y5EZa,油爆双脆超下饭！,1402312,94178,3282,北京,141,2:21,夏叔厨房,11429061,2025-03-31 14:19:02,美食制作,12326,1564,1637,613
114256347471626,BV1USZJYWEGN,终于吃到正宗的把子肉了！不吃40块不过瘾！大口吃肉吃到爽,2622555,64088,6017,重庆,536,8:56,干饭三健客,8680974,2025-03-31 17:50:46,美食记录,4857,4993,1692,2591
114259585405459,BV1PUZsY8E8m,小孙为自己的家乡代言，推荐大家来了必吃的美食：鱼头火锅,1509894,144149,7752,四川,330,5:30,孙笑川258,402574397,2025-04-01 12:30:00,美食侦探,22851,16502,4612,7430
114256330622564,BV14DZJYXEEt,黄金比例烧麦，小当家惊呆了！！,4657555,186190,6624,湖南,338,5:38,上班族的便当,50660116,2025-03-31 17:31:18,美食制作,23113,2930,2468,2192
114260592039221,BV1cZZ4YwEUn,胖龙打算给儿子转学，儿子认错态度积极，写一份保证书,1410582,31107,2721,河南,363,6:03,胖龙的小生活,649661652,2025-04-01 17:30:00,美食记录,1270,602,2841,2208
114267269437685,BV1MbfPY2EeG,【戈登吐槽】这还比什么,4286458,352558,3180,英国,55,0:55,戈登拉姆齐Gordon,3546821435591465,2025-04-02 18:00:00,美食制作,39115,938,2480,298
114246767612982,BV1oLZaYNEPD,6分钟晚餐 生菜鸡蛋,6676135,233864,6336,天津,68,1:08,香蕉柿子梨,217974795,2025-03-30 01:02:46,美食制作,25972,17928,6310,4539
114262001391028,BV1c6ZtYYEMy,挑战一天只吃绿色的食物，没肉的24小时，我崩溃了,13374010,30570,3563,河南,218,3:38,王蒙多,392221058,2025-04-01 17:34:05,美食测评,85200,38,162,433
114261229573240,BV1uyZbYUEx2,真正意义上的宽油，比人高的鲇鱼整个油炸,2730792,64835,6268,四川,944,15:44,野厨大叔Tavakkul,1615641697,2025-04-01 17:35:00,美食制作,12071,5247,2962,8284
114243546582705,BV1fgZFYJETZ,自制鱼豆腐，在家实现关东煮自由～你最爱关东煮里的哪个食物吖～,2131376,185295,3061,安徽,125,2:05,留意炫饭吖,1201986019,2025-03-30 17:50:00,美食记录,23673,3139,708,611
114256213182660,BV1uxZnYfE7u,五花肉怎么烤，原味不腌制烤成外酥里嫩，从选肉改刀烤制详细教程！,775781,65560,2989,天津,268,4:28,烧烤教父up,647201537,2025-03-31 17:05:07,美食制作,20671,4146,550,607
114246415357521,BV1PrZaYEEt1,用 ai 做一道人类历史上从未出现的料理！！《星穹脆皮鸡》,10657510,57712,9363,浙江,442,7:22,贤宝宝Baby,3957971,2025-03-30 11:00:00,美食制作,81402,852,449,1154
114257807024005,BV11jZHY9EyS,林子大了什么果子都有！颠覆味蕾的小众水果开箱,1221109,52667,11579,天津,317,5:17,了不起的八万二饼,395936853,2025-04-01 12:10:00,美食测评,5546,906,890,1940
114245039559928,BV1EeZcYQEDc,面包机做牛排，我想都不敢想,7466917,48761,1683,江苏,434,7:14,陈老师很挑食,65620268,2025-03-30 12:00:00,美食测评,21965,323,459,817
